original_ORF_annotation	query	target	description	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
>LOKIASV2_15390 hypothetical protein	LOKIASV2_1539_ESMFold_hypothetical_protein	2hsb-assembly1.cif.gz_A	Crystal structure of a hepn domain containing protein (af_0298) from archaeoglobus fulgidus at 1.95 A resolution 	0.107	111	96	721	828	7	117	0.8815	68
>LOKIASV2_15400 MoxR family ATPase	LOKIASV2_1540_ESMFold_MoxR_family_ATPase	AF-P94474-F1-model_v4	Uncharacterized protein YeaC 	0.467	306	162	15	319	9	314	3.99E-39	1548
>LOKIASV2_15410 hypothetical protein	LOKIASV2_1541_ESMFold_hypothetical_protein	AF-P41848-F1-model_v4	FACT complex subunit SSRP1-A 	0.148	99	70	99	197	20	102	0.00773	109
>LOKIASV2_15420 hypothetical protein	LOKIASV2_1542_ESMFold_hypothetical_protein	AF-Q8CGY8-F1-model_v4	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit 	0.117	430	377	131	560	13	440	2.34E-14	636
>LOKIASV2_15430 DUF58 domain-containing protein	LOKIASV2_1543_ESMFold_DUF58_domain-containing_protein	AF-P94475-F1-model_v4	Uncharacterized protein YeaD 	0.168	414	314	5	418	13	390	5.254E-22	557
>LOKIASV2_15440 hypothetical protein	LOKIASV2_1544_ESMFold_hypothetical_protein	AF-E1BK52-F1-model_v4	Serine/threonine-protein kinase 10 	0.131	440	338	2	441	566	955	0.6376	41
>LOKIASV2_15450 ribonuclease H-like domain-containing protein	LOKIASV2_1545_ESMFold_ribonuclease_H-like_domain-containing_protein	AF-Q57811-F1-model_v4	Uncharacterized protein MJ0365 	0.162	175	137	87	251	2	176	0.00002269	197
>LOKIASV2_15460 hypothetical protein	LOKIASV2_1546_ESMFold_hypothetical_protein	AF-Q8N9H8-F1-model_v4	Exonuclease mut-7 homolog 	0.135	226	145	11	179	630	855	0.000005911	184
>LOKIASV2_15470 hypothetical protein	LOKIASV2_1547_ESMFold_hypothetical_protein	3bhp-assembly4.cif.gz_A	Crystal structure of UPF0291 protein ynzC from Bacillus subtilis at resolution 2.0 A. Northeast Structural Genomics Consortium target SR384 	0.212	47	35	7	53	2	47	4.639	35
>LOKIASV2_15480 inorganic phosphate transporter	LOKIASV2_1548_ESMFold_inorganic_phosphate_transporter	AF-O28476-F1-model_v4	Putative phosphate permease AF_1798 	0.263	335	244	1	335	1	332	3.847E-17	824
>LOKIASV2_15490 hypothetical protein	LOKIASV2_1549_ESMFold_hypothetical_protein	AF-O50097-F1-model_v4	UPF0111 protein PH1389 	0.216	202	158	10	211	9	210	0.00000005622	418
>LOKIASV2_15500 hypothetical protein	LOKIASV2_1550_ESMFold_hypothetical_protein	AF-A5G3Q7-F1-model_v4	Biotin synthase 	0.142	331	277	1	331	1	324	1.046E-14	398
>LOKIASV2_15510 biotin-lipoate A-B protein ligase family protein	LOKIASV2_1551_ESMFold_biotin-lipoate_A-B_protein_ligase_family_protein	AF-Q67N40-F1-model_v4	Octanoyltransferase LipM 	0.276	273	194	1	269	2	274	8.334E-28	948
>LOKIASV2_15520 radical SAM protein	LOKIASV2_1552_ESMFold_radical_SAM_protein	AF-B9KBR9-F1-model_v4	Biotin synthase 	0.19	216	162	46	261	20	220	1.173E-10	341
>LOKIASV2_15530 hypothetical protein	LOKIASV2_1553_ESMFold_hypothetical_protein	7q4n-assembly2.cif.gz_C	transcription factor CDX2 bound to hydroxymethylated DNA 	0.205	39	30	52	90	25	63	2.593	42
>LOKIASV2_15540 hypothetical protein	LOKIASV2_1554_ESMFold_hypothetical_protein	AF-Q58124-F1-model_v4	Uncharacterized protein MJ0714 	0.161	117	96	8	124	2	117	0.00000006087	273
>LOKIASV2_15550 hypothetical protein	LOKIASV2_1555_ESMFold_hypothetical_protein	AF-Q980N4-F1-model_v4	ORC1-type DNA replication protein 1 	0.14	402	332	16	417	2	388	6.066E-15	451
>LOKIASV2_15560 hypothetical protein	LOKIASV2_1556_ESMFold_hypothetical_protein	AF-P37537-F1-model_v4	Thymidylate kinase 	0.198	211	168	45	255	2	212	0.000000004489	290
>LOKIASV2_15570 hypothetical protein	LOKIASV2_1557_ESMFold_hypothetical_protein	AF-O26944-F1-model_v4	Metalloprotease MTH_856 	0.258	455	330	2	456	9	454	1.115E-42	1655
>LOKIASV2_15580 TldD-PmbA family protein	LOKIASV2_1558_ESMFold_TldD-PmbA_family_protein	6j6a-assembly1.cif.gz_B	Crystal structure of TldE from Thermococcus kodakarensis 	0.203	447	351	12	458	2	442	8.344E-38	1261
>LOKIASV2_15590 hypothetical protein	LOKIASV2_1559_ESMFold_hypothetical_protein	6rgr-assembly1.cif.gz_A-2	Photorhabdus asymbiotica lectin PHL in complex with L-rhamnose 	0.095	418	294	55	472	5	330	9.112E-10	311
>LOKIASV2_15600 hypothetical protein	LOKIASV2_1560_ESMFold_hypothetical_protein	1cvr-assembly1.cif.gz_A	Crystal structure of the Arg specific cysteine proteinase gingipain R (RGPB) 	0.167	519	348	48	566	9	427	1.268E-22	663
>LOKIASV2_15610 hypothetical protein	LOKIASV2_1561_ESMFold_hypothetical_protein	3ci6-assembly1.cif.gz_B	Crystal structure of the GAF domain from Acinetobacter phosphoenolpyruvate-protein phosphotransferase 	0.186	178	125	10	187	5	158	0.0000001117	233
>LOKIASV2_15620 hypothetical protein	LOKIASV2_1562_ESMFold_hypothetical_protein	AF-Q3SX43-F1-model_v4	Ras-related GTP-binding protein A 	0.188	301	238	2	302	8	301	6.564E-23	734
>LOKIASV2_15630 hypothetical protein	LOKIASV2_1563_ESMFold_hypothetical_protein	AF-Q58482-F1-model_v4	Uncharacterized protein MJ1082 	0.206	131	87	8	138	4	113	0.00001413	199
>LOKIASV2_15640 thioredoxin	LOKIASV2_1564_ESMFold_thioredoxin	AF-Q9ZP20-F1-model_v4	Thioredoxin M5, chloroplastic 	0.324	117	76	23	139	58	171	1.854E-11	399
>LOKIASV2_15650 hypothetical protein	LOKIASV2_1565_ESMFold_hypothetical_protein	5n9j-assembly1.cif.gz_G	Core Mediator of transcriptional regulation 	0.259	27	19	3	28	137	163	8.234	15
>LOKIASV2_15660 hypothetical protein	LOKIASV2_1566_ESMFold_hypothetical_protein	AF-Q8CGY8-F1-model_v4	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit 	0.239	250	179	8	257	89	324	5.241E-11	557
>LOKIASV2_15670 hypothetical protein	LOKIASV2_1567_ESMFold_hypothetical_protein	AF-Q8RWZ3-F1-model_v4	Probable acyl-CoA dehydrogenase IBR3 	0.161	349	284	150	489	20	368	7.581E-11	351
>LOKIASV2_15680 hypothetical protein	LOKIASV2_1568_ESMFold_hypothetical_protein	AF-Q5V2X7-F1-model_v4	Ribonuclease P protein component 2 	0.083	36	31	105	139	121	156	0.4203	65
>LOKIASV2_15690 hypothetical protein	LOKIASV2_1569_ESMFold_hypothetical_protein	AF-P21865-F1-model_v4	Sensor protein KdpD 	0.126	195	144	13	178	386	580	0.01989	92
>LOKIASV2_15700 triose-phosphate isomerase	LOKIASV2_1570_ESMFold_triose-phosphate_isomerase	7n8u-assembly1.cif.gz_B	Crystal structure of Triosephosphate isomerase from Candidatus Prometheoarchaeum syntrophicum 	0.696	264	80	1	264	1	263	2.293E-40	1523
>LOKIASV2_15710 hypothetical protein	LOKIASV2_1571_ESMFold_hypothetical_protein	AF-P20298-F1-model_v4	Uncharacterized protein in gap 3'region 	0.387	155	89	46	200	2	147	0.0000001603	351
>LOKIASV2_15720 threonine synthase	LOKIASV2_1572_ESMFold_threonine_synthase	AF-Q58860-F1-model_v4	Threonine synthase 	0.273	379	250	11	355	2	380	4.179E-26	889
>LOKIASV2_15730 hypothetical protein	LOKIASV2_1573_ESMFold_hypothetical_protein	7yh2-assembly1.cif.gz_B	TRAPPC3 from Thorarchaeota AB25 	0.138	151	118	20	157	6	156	0.0000005955	234
>LOKIASV2_15740 hypothetical protein	LOKIASV2_1574_ESMFold_hypothetical_protein	1wc8-assembly1.cif.gz_A-2	The crystal structure of mouse bet3p 	0.138	178	134	17	194	3	159	0.00007004	222
>LOKIASV2_15750 hypothetical protein	LOKIASV2_1575_ESMFold_hypothetical_protein	AF-P31562-F1-model_v4	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta 	0.102	49	37	21	62	16	64	1.365	49
>LOKIASV2_15760 hypothetical protein	LOKIASV2_1576_ESMFold_hypothetical_protein	7n6g-assembly1.cif.gz_3U	C1 of central pair 	0.109	269	217	2	270	101	345	1.378	29
>LOKIASV2_15770 helicase C-terminal domain-containing protein	LOKIASV2_1577_ESMFold_helicase_C-terminal_domain-containing_protein	AF-Q9HM14-F1-model_v4	ATP-dependent DNA helicase Ta0057 	0.233	628	452	54	681	6	595	8.643E-39	1443
>LOKIASV2_15780 glycogen-starch synthase	LOKIASV2_1578_ESMFold_glycogen-starch_synthase	3l01-assembly2.cif.gz_B	Crystal structure of monomeric glycogen synthase from Pyrococcus abyssi 	0.212	602	334	13	614	3	427	9.943E-24	799
>LOKIASV2_15790 proteasome assembly chaperone family protein	LOKIASV2_1579_ESMFold_proteasome_assembly_chaperone_family_protein	AF-Q57570-F1-model_v4	Uncharacterized protein MJ0106 	0.23	243	178	23	265	5	236	3.909E-21	720
>LOKIASV2_15800 50S ribosomal protein L35ae	LOKIASV2_1580_ESMFold_50S_ribosomal_protein_L35ae	AF-O74099-F1-model_v4	50S ribosomal protein L35Ae 	0.471	89	45	10	98	1	87	8.183E-11	470
>LOKIASV2_15810 RNA-guided endonuclease TnpB family protein	LOKIASV2_1581_ESMFold_RNA-guided_endonuclease_TnpB_family_protein	AF-P54992-F1-model_v4	Putative transposase in snaA-snaB intergenic region 	0.2	394	310	1	394	3	390	1.471E-20	566
>LOKIASV2_15820 hypothetical protein	LOKIASV2_1582_ESMFold_hypothetical_protein	AF-Q86SQ3-F1-model_v4	Putative adhesion G protein-coupled receptor E4P 	0.144	249	196	1	230	186	434	0.0003872	175
>LOKIASV2_15830 hypothetical protein	LOKIASV2_1583_ESMFold_hypothetical_protein	1zc3-assembly2.cif.gz_B	Crystal structure of the Ral-binding domain of Exo84 in complex with the active RalA 	0.121	102	89	259	360	2	103	0.0005162	166
>LOKIASV2_15840 hypothetical protein	LOKIASV2_1584_ESMFold_hypothetical_protein	AF-Q6FW96-F1-model_v4	Vacuolar-sorting protein SNF7 	0.199	211	167	7	216	8	218	0.00001082	170
>LOKIASV2_15850 hypothetical protein	LOKIASV2_1585_ESMFold_hypothetical_protein	AF-Q0W131-F1-model_v4	3-dehydroquinate synthase 	0.321	373	251	6	378	4	374	2.34E-38	1076
>LOKIASV2_15860 hypothetical protein	LOKIASV2_1586_ESMFold_hypothetical_protein	AF-G2K3G6-F1-model_v4	Internalin A 	0.33	138	91	56	193	220	356	0.00000003833	325
>LOKIASV2_15870 pyruvate kinase	LOKIASV2_1587_ESMFold_pyruvate_kinase	AF-P0AD61-F1-model_v4	Pyruvate kinase I 	0.376	474	292	9	482	1	469	1.996E-56	2142
>LOKIASV2_15880 hypothetical protein	LOKIASV2_1588_ESMFold_hypothetical_protein	AF-Q9V126-F1-model_v4	Uncharacterized protein PYRAB06030 	0.264	43	31	4	46	5	47	0.05146	68
>LOKIASV2_15890 hypothetical protein	LOKIASV2_1589_ESMFold_hypothetical_protein	AF-Q5R7N3-F1-model_v4	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial 	0.208	48	36	46	93	99	145	0.3446	71
>LOKIASV2_15900 hypothetical protein	LOKIASV2_1590_ESMFold_hypothetical_protein	AF-Q8Y5W0-F1-model_v4	Riboflavin transporter RibU 	0.183	190	142	32	221	5	179	0.0004443	193
>LOKIASV2_15910 hypothetical protein	LOKIASV2_1591_ESMFold_hypothetical_protein	AF-O31880-F1-model_v4	SPbeta prophage-derived uncharacterized protein YosI 	0.186	43	33	4	44	2	44	0.2397	72
>LOKIASV2_15920 hypothetical protein	LOKIASV2_1592_ESMFold_hypothetical_protein	AF-Q60354-F1-model_v4	Putative methyltransferase MJ0046 	0.321	269	172	25	293	7	260	1.888E-21	703
>LOKIASV2_15930 hypothetical protein	LOKIASV2_1593_ESMFold_hypothetical_protein	AF-Q8HXZ8-F1-model_v4	CD209 antigen 	0.117	94	76	32	125	186	272	0.9164	68
>LOKIASV2_15940 Mth938-like domain-containing protein	LOKIASV2_1594_ESMFold_Mth938-like_domain-containing_protein	AF-Q9H7C9-F1-model_v4	Mth938 domain-containing protein 	0.32	122	79	1	117	1	122	9.764E-11	368
>LOKIASV2_15950 IS200-IS605 family transposase	LOKIASV2_1595_ESMFold_IS200-IS605_family_transposase	2xma-assembly1.cif.gz_B	DEINOCOCCUS RADIODURANS ISDRA2 TRANSPOSASE RIGHT END DNA COMPLEX 	0.341	126	82	17	142	10	134	1.968E-13	462
>LOKIASV2_15960 hypothetical protein	LOKIASV2_1596_ESMFold_hypothetical_protein	AF-P74598-F1-model_v4	Uncharacterized WD repeat-containing protein sll1491 	0.122	342	251	48	389	45	331	0.000000007298	225
>LOKIASV2_15970 hypothetical protein	LOKIASV2_1597_ESMFold_hypothetical_protein	AF-Q58736-F1-model_v4	Uncharacterized protein MJ1340 	0.359	114	70	10	123	4	113	1.893E-11	446
>LOKIASV2_15980 hypothetical protein	LOKIASV2_1598_ESMFold_hypothetical_protein	AF-O62772-F1-model_v4	Corticotropin-releasing factor receptor 1 	0.108	243	192	2	217	120	362	0.0005833	160
>LOKIASV2_15990 bifunctional nicotinamidase-pyrazinamidase	LOKIASV2_1599_ESMFold_bifunctional_nicotinamidase-pyrazinamidase	AF-P21369-F1-model_v4	Nicotinamidase 	0.37	205	128	9	213	1	204	3.21E-24	909
>LOKIASV2_16000 hypothetical protein	LOKIASV2_1600_ESMFold_hypothetical_protein	AF-Q6VAK3-F1-model_v4	Histidine-containing phosphotransfer protein 1 	0.139	89	70	7	88	52	140	1.512	51
>LOKIASV2_16010 aspartate--tRNA-Asn- ligase	LOKIASV2_1601_ESMFold_aspartate--tRNA-Asn-_ligase	AF-O26328-F1-model_v4	Aspartate--tRNA(Asp/Asn) ligase 	0.438	437	244	9	445	3	437	4E-58	2279
>LOKIASV2_16020 tRNA pseudouridine-13- synthase TruD	LOKIASV2_1602_ESMFold_tRNA_pseudouridine-13-_synthase_TruD	AF-Q8Q0M2-F1-model_v4	Probable tRNA pseudouridine synthase D 	0.309	448	294	15	462	6	431	4.226E-38	1372
>LOKIASV2_16030 hypothetical protein	LOKIASV2_1603_ESMFold_hypothetical_protein	3mpr-assembly1.cif.gz_B	Crystal Structure of endonuclease/exonuclease/phosphatase family protein from Bacteroides thetaiotaomicron, Northeast Structural Genomics Consortium Target BtR318A 	0.357	273	172	216	488	2	269	1.548E-27	1023
>LOKIASV2_16040 hypothetical protein	LOKIASV2_1604_ESMFold_hypothetical_protein	AF-P59543-F1-model_v4	Taste receptor type 2 member 20 	0.109	289	212	1	239	2	290	0.002016	153
>LOKIASV2_16050 hypothetical protein	LOKIASV2_1605_ESMFold_hypothetical_protein	AF-B0R9H2-F1-model_v4	Probable transposase for insertion sequence element ISH11 	0.132	293	229	175	467	56	320	3.704E-10	366
>LOKIASV2_16060 sulfatase-like hydrolase-transferase	LOKIASV2_1606_ESMFold_sulfatase-like_hydrolase-transferase	6ptk-assembly2.cif.gz_D-3	Crystal structure of the sulfatase PsS1_NC C84A with bound sulfate ion 	0.238	485	347	4	488	1	457	2.073E-31	1000
>LOKIASV2_16070 MFS transporter	LOKIASV2_1607_ESMFold_MFS_transporter	AF-Q9DA75-F1-model_v4	Sodium-dependent lysophosphatidylcholine symporter 1 	0.182	483	393	13	494	35	517	1.023E-18	910
>LOKIASV2_16080 30S ribosomal protein S11	LOKIASV2_1608_ESMFold_30S_ribosomal_protein_S11	AF-Q8TRR0-F1-model_v4	30S ribosomal protein S11 	0.634	123	45	7	129	2	124	5.969E-19	611
>LOKIASV2_16090 30S ribosomal protein S4	LOKIASV2_1609_ESMFold_30S_ribosomal_protein_S4	AF-A8A8W3-F1-model_v4	30S ribosomal protein S4 	0.512	166	81	1	166	1	166	9.231E-18	727
>LOKIASV2_16100 30S ribosomal protein S13	LOKIASV2_1610_ESMFold_30S_ribosomal_protein_S13	AF-A2BK76-F1-model_v4	30S ribosomal protein S13 	0.452	148	78	17	164	3	145	7.606E-15	471
>LOKIASV2_16110 hypothetical protein	LOKIASV2_1611_ESMFold_hypothetical_protein	AF-Q9FG23-F1-model_v4	CDK5RAP3-like protein 	0.092	528	376	2	416	12	539	0.002213	94
>LOKIASV2_16120 hypothetical protein	LOKIASV2_1612_ESMFold_hypothetical_protein	6vme-assembly2.cif.gz_F	Human ESCRT-I heterotetramer headpiece 	0.183	60	48	383	442	13	72	0.691	90
>LOKIASV2_16130 hypothetical protein	LOKIASV2_1613_ESMFold_hypothetical_protein	AF-O34551-F1-model_v4	Uncharacterized membrane protein YkoI 	0.25	61	45	1	61	99	159	0.1484	71
>LOKIASV2_16140 hypothetical protein	LOKIASV2_1614_ESMFold_hypothetical_protein	AF-P06568-F1-model_v4	TVP38/TMEM64 family membrane protein YtxB 	0.232	225	154	21	245	5	206	0.0000003475	301
>LOKIASV2_16150 hypothetical protein	LOKIASV2_1615_ESMFold_hypothetical_protein	5kmf-assembly1.cif.gz_D	Structure of CavAb in complex with nimodipine 	0.14	112	89	41	144	27	138	9.846	19
>LOKIASV2_16160 hypothetical protein	LOKIASV2_1616_ESMFold_hypothetical_protein	AF-Q3T140-F1-model_v4	Dynein light chain roadblock-type 1 	0.093	96	83	2	97	4	95	0.0000003943	263
>LOKIASV2_16170 IS200-IS605 family transposase	LOKIASV2_1617_ESMFold_IS200-IS605_family_transposase	2xma-assembly1.cif.gz_B	DEINOCOCCUS RADIODURANS ISDRA2 TRANSPOSASE RIGHT END DNA COMPLEX 	0.341	126	82	17	142	10	134	1.968E-13	462
>LOKIASV2_16180 hypothetical protein	LOKIASV2_1618_ESMFold_hypothetical_protein	AF-P9WPD7-F1-model_v4	Uncharacterized transporter Rv2685 	0.258	155	111	13	162	272	426	0.00005283	248
>LOKIASV2_16190 amidophosphoribosyltransferase	LOKIASV2_1619_ESMFold_amidophosphoribosyltransferase	AF-Q57657-F1-model_v4	Amidophosphoribosyltransferase 	0.434	475	264	16	490	2	468	4.628E-56	1997
>LOKIASV2_16200 phosphoribosylformylglycinamidine synthase subunit PurQ	LOKIASV2_1620_ESMFold_phosphoribosylformylglycinamidine_synthase_subunit_PurQ	AF-Q6M0U0-F1-model_v4	Phosphoribosylformylglycinamidine synthase subunit PurQ 	0.405	266	148	1	250	4	269	4.376E-31	1034
>LOKIASV2_16210 phosphoribosylformylglycinamidine synthase subunit PurS	LOKIASV2_1621_AF2_phosphoribosylformylglycinamidine_synthase_subunit_PurS	AF-Q97BD5-F1-model_v4	Phosphoribosylformylglycinamidine synthase subunit PurL 	0.313	806	519	174	979	3	758	1.299E-79	2676
>LOKIASV2_16220 hypothetical protein	LOKIASV2_1622_ESMFold_hypothetical_protein	AF-Q64XV7-F1-model_v4	Phosphoribosylaminoimidazole-succinocarboxamide synthase 	0.425	306	175	14	319	3	308	1.262E-37	1363
>LOKIASV2_16230 nucleotide pyrophosphohydrolase	LOKIASV2_1623_ESMFold_nucleotide_pyrophosphohydrolase	AF-Q9QY93-F1-model_v4	dCTP pyrophosphatase 1 	0.322	117	75	1	112	20	136	0.0000006272	301
>LOKIASV2_16240 alpha-beta hydrolase	LOKIASV2_1624_ESMFold_alpha-beta_hydrolase	2xua-assembly1.cif.gz_A	Crystal structure of the enol-lactonase from Burkholderia xenovorans LB400 	0.197	271	207	18	288	1	259	4.891E-16	442
>LOKIASV2_16250 tryptophan-rich sensory protein	LOKIASV2_1625_ESMFold_tryptophan-rich_sensory_protein	AF-O94440-F1-model_v4	Uncharacterized protein C637.03 	0.136	249	201	9	257	9	242	0.00004394	271
>LOKIASV2_16260 DMT family transporter	LOKIASV2_1626_ESMFold_DMT_family_transporter	AF-O29973-F1-model_v4	Uncharacterized transporter AF_0266 	0.237	289	208	28	316	3	276	3.94E-13	670
>LOKIASV2_16270 hypothetical protein	LOKIASV2_1627_ESMFold_hypothetical_protein	7qhm-assembly1.cif.gz_L	Cytochrome bcc-aa3 supercomplex (respiratory supercomplex III2/IV2) from Corynebacterium glutamicum (stigmatellin and azide bound) 	0.163	49	37	5	49	3	51	4.243	51
>LOKIASV2_16280 asparagine--tRNA ligase	LOKIASV2_1628_ESMFold_asparagine--tRNA_ligase	AF-Q979Y4-F1-model_v4	Asparagine--tRNA ligase 	0.471	428	225	6	431	2	429	2.707E-60	2312
>LOKIASV2_16290 hypothetical protein	LOKIASV2_1629_ESMFold_hypothetical_protein	2onf-assembly1.cif.gz_B	Crystal structure of a putative osmotically inducible protein c (ta0195) from thermoplasma acidophilum at 1.70 A resolution 	0.16	141	114	4	144	2	138	2.233E-10	348
>LOKIASV2_16300 coenzyme F420-0:L-glutamate ligase	LOKIASV2_1630_ESMFold_coenzyme_F420-0:L-glutamate_ligase	AF-O27098-F1-model_v4	Coenzyme F420:L-glutamate ligase 	0.333	250	166	1	250	1	250	9.083E-28	913
>LOKIASV2_16310 N-A	LOKIASV2_1631_ESMFold_N-A	AF-P73248-F1-model_v4	Dihydropteroate synthase 	0.333	281	183	7	287	14	289	1.511E-22	775
>LOKIASV2_16320 DNA topoisomerase -ATP-hydrolyzing- subunit B	LOKIASV2_1632_ESMFold_DNA_topoisomerase_-ATP-hydrolyzing-_subunit_B	AF-P05652-F1-model_v4	DNA gyrase subunit B 	0.509	670	311	58	727	4	638	9.215E-85	2636
>LOKIASV2_16330 DNA gyrase subunit A	LOKIASV2_1633_ESMFold_DNA_gyrase_subunit_A	AF-Q8NKW8-F1-model_v4	DNA gyrase subunit A 	0.448	809	444	64	872	11	816	1.976E-99	3242
>LOKIASV2_16340 HAD family hydrolase	LOKIASV2_1634_ESMFold_HAD_family_hydrolase	6q7p-assembly1.cif.gz_A	Crystal structure of OE1.2 	0.224	245	176	1	245	1	228	8.225E-15	459
>LOKIASV2_16350 hypothetical protein	LOKIASV2_1635_ESMFold_hypothetical_protein	AF-Q881J7-F1-model_v4	Blue-light-activated protein 	0.25	507	376	227	728	21	527	4.652E-32	892
>LOKIASV2_16360 GTPase domain-containing protein	LOKIASV2_1636_ESMFold_GTPase_domain-containing_protein	3t1q-assembly1.cif.gz_A	MglA bound to GppNHp in complex with MglB 	0.347	182	114	10	191	2	177	7.826E-18	574
>LOKIASV2_16370 hypothetical protein	LOKIASV2_1637_ESMFold_hypothetical_protein	7eja-assembly1.cif.gz_R	Structure of the alpha2A-adrenergic receptor GoA signaling complex bound to dexmedetomidine 	0.14	204	156	2	183	4	207	0.6662	63
>LOKIASV2_16380 hypothetical protein	LOKIASV2_1638_ESMFold_hypothetical_protein	AF-Q9HPU8-F1-model_v4	Bacterioopsin transcriptional activator 	0.18	217	172	4	214	454	670	3.04E-15	424
>LOKIASV2_16390 hypothetical protein	LOKIASV2_1639_ESMFold_hypothetical_protein	AF-Q5I0J5-F1-model_v4	MIT domain-containing protein 1 	0.15	80	65	8	84	3	82	0.04925	113
>LOKIASV2_16400 hypothetical protein	LOKIASV2_1640_ESMFold_hypothetical_protein	1ifq-assembly1.cif.gz_A	Sec22b N-terminal domain 	0.141	103	83	1	98	25	127	0.1035	80
>LOKIASV2_16410 hypothetical protein	LOKIASV2_1641_ESMFold_hypothetical_protein	AF-Q49Y81-F1-model_v4	UPF0735 ACT domain-containing protein SSP1116 	0.117	84	69	59	142	69	147	0.0001829	171
>LOKIASV2_16420 hypothetical protein	LOKIASV2_1642_ESMFold_hypothetical_protein	AF-Q9BRL7-F1-model_v4	Vesicle-trafficking protein SEC22c 	0.12	149	121	11	159	3	140	0.0002889	140
>LOKIASV2_16430 sugar phosphate nucleotidyltransferase	LOKIASV2_1643_ESMFold_sugar_phosphate_nucleotidyltransferase	AF-Q9RR29-F1-model_v4	Glucose-1-phosphate thymidylyltransferase 	0.217	359	260	1	359	1	333	4.551E-25	868
>LOKIASV2_16440 potassium channel protein KbfO	LOKIASV2_1644_ESMFold_potassium_channel_protein_KbfO	AF-Q795M8-F1-model_v4	Putative potassium channel protein YugO 	0.226	249	179	25	256	6	254	3.333E-15	462
>LOKIASV2_16450 BadF-BadG-BcrA-BcrD ATPase family protein	LOKIASV2_1645_ESMFold_BadF-BadG-BcrA-BcrD_ATPase_family_protein	AF-Q5U925-F1-model_v4	2-hydroxyisocaproyl-CoA dehydratase activator 	0.448	259	141	1	259	1	257	5.877E-33	1196
>LOKIASV2_16460 cyclopropane-fatty-acyl-phospholipid synthase family protein	LOKIASV2_1646_ESMFold_cyclopropane-fatty-acyl-phospholipid_synthase_family_protein	AF-Q5C9L6-F1-model_v4	(S)-coclaurine N-methyltransferase 	0.342	344	224	4	347	19	360	5.142E-35	1350
>LOKIASV2_16470 hypothetical protein	LOKIASV2_1647_ESMFold_hypothetical_protein	4ij6-assembly1.cif.gz_B	Crystal Structure of a Novel-type Phosphoserine Phosphatase Mutant (H9A) from <i>Hydrogenobacter thermophilus</i> TK-6 in Complex with L-phosphoserine 	0.267	181	130	2	182	3	181	9.921E-18	574
